[08: 22: 02] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/carry/get_asset_data HTTP/1.1 [status]: 404 [response-time]: 2.280 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 23: 11] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/carry/get_asset_data HTTP/1.1 [status]: 404 [response-time]: 2.568 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 23: 11] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/carry/get_asset_data HTTP/1.1 [status]: 404 [response-time]: 0.422 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 25: 43] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/carry/get_asset_data HTTP/1.1 [status]: 200 [response-time]: 62.282 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 38: 42] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 55.288 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 38: 42] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 48.670 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 39: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 51.520 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 41: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 52.895 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 41: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 49.057 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 41: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 44.325 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 41: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 84.148 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[08: 41: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 45.675 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 00: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 101.904 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 00: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 97.323 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 161.294 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 100.595 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 107.859 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 120.144 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 133.207 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 99.098 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 99.000 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 96.629 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 01: 59] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 104.248 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 07: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 124.895 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 07: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 93.569 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 07: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 87.975 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
[09: 07: 38] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/carry/insert_asset_data HTTP/1.1 [status]: 200 [response-time]: 87.485 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
